frame= 1305 fps= 30 q=-1.0 size=   27718kB time=00:00:43.52 bitrate=5217.2kbits/s speed=   1x    
frame= 1321 fps= 30 q=-1.0 size=   28051kB time=00:00:44.05 bitrate=5215.9kbits/s speed=   1x    
frame= 1335 fps= 30 q=-1.0 size=   28430kB time=00:00:44.55 bitrate=5227.0kbits/s speed=   1x    
frame= 1351 fps= 30 q=-1.0 size=   28666kB time=00:00:45.05 bitrate=5212.0kbits/s speed=   1x    
frame= 1366 fps= 30 q=-1.0 size=   28986kB time=00:00:45.55 bitrate=5211.9kbits/s speed=   1x    
frame= 1381 fps= 30 q=-1.0 size=   29279kB time=00:00:46.05 bitrate=5207.8kbits/s speed=   1x    
frame= 1396 fps= 30 q=-1.0 size=   29741kB time=00:00:46.58 bitrate=5230.3kbits/s speed=   1x    
frame= 1411 fps= 30 q=-1.0 size=   30002kB time=00:00:47.07 bitrate=5221.1kbits/s speed=   1x    
frame= 1425 fps= 30 q=-1.0 size=   30295kB time=00:00:47.56 bitrate=5217.7kbits/s speed=   1x    
frame= 1440 fps= 30 q=-1.0 size=   30706kB time=00:00:48.09 bitrate=5229.8kbits/s speed=   1x    
frame= 1456 fps= 30 q=-1.0 size=   31167kB time=00:00:48.58 bitrate=5254.7kbits/s speed=   1x    
frame= 1472 fps= 30 q=-1.0 size=   31445kB time=00:00:49.08 bitrate=5247.5kbits/s speed=   1x    
frame= 1486 fps= 30 q=-1.0 size=   31736kB time=00:00:49.59 bitrate=5242.5kbits/s speed=   1x    
frame= 1502 fps= 30 q=-1.0 size=   32311kB time=00:00:50.12 bitrate=5280.7kbits/s speed=   1x    
frame= 1518 fps= 30 q=-1.0 size=   32545kB time=00:00:50.62 bitrate=5266.6kbits/s speed=   1x    
frame= 1531 fps= 30 q=-1.0 size=   32795kB time=00:00:51.12 bitrate=5254.7kbits/s speed=   1x    
frame= 1547 fps= 30 q=-1.0 size=   33109kB time=00:00:51.63 bitrate=5252.3kbits/s speed=   1x    
frame= 1563 fps= 30 q=-1.0 size=   33639kB time=00:00:52.12 bitrate=5287.1kbits/s speed=   1x    
frame= 1577 fps= 30 q=-1.0 size=   33993kB time=00:00:52.64 bitrate=5290.1kbits/s speed=   1x    
frame= 1593 fps= 30 q=-1.0 size=   34320kB time=00:00:53.15 bitrate=5289.4kbits/s speed=   1x    
frame= 1609 fps= 30 q=-1.0 size=   34609kB time=00:00:53.65 bitrate=5283.9kbits/s speed=   1x    
frame= 1623 fps= 30 q=-1.0 size=   35111kB time=00:00:54.15 bitrate=5311.1kbits/s speed=   1x    
frame= 1638 fps= 30 q=-1.0 size=   35340kB time=00:00:54.66 bitrate=5295.8kbits/s speed=   1x    
frame= 1654 fps= 30 q=-1.0 size=   35633kB time=00:00:55.18 bitrate=5290.1kbits/s speed=   1x    
frame= 1670 fps= 30 q=-1.0 size=   35905kB time=00:00:55.68 bitrate=5281.6kbits/s speed=   1x    
